userId,lang_count,counts_details,counts_pictures,counts_kisses,whazzup_len,cluster_4,cluster_5
53121e33c66da1d509040f76,1,0.38,1,20,75,2,2
5312330e170ba0341f8b5d09,1,0.88,8,555,49,1,3
5312896b150ba03d248b6ea5,1,0.0,2,75,0,2,2
53139ac6140ba032068b6eb8,1,0.27,1,52,0,2,2
5313bb94c86da17161290450,1,0.88,1,214,10,0,0
531470d01b0ba033508b5739,1,0.96,8,48,15,2,2
5314ed67180ba05b498b50b7,1,0.69,5,1073,0,3,1
5315c17fc56da1a4298b4853,1,0.92,4,137,57,2,0
5315da0cca6da1028d8b47a5,1,0.62,3,33,3,2,2
5319eb8eca6da11f718b45a9,1,1.0,3,1414,7,3,4
531ae6ebc66da19568efe8d1,1,0.15,8,283,58,0,0
531b4f94180ba0cd468b5974,1,0.0,0,13,3,2,2
531b6f7ec56da1d0048b6994,1,0.58,7,77,0,2,2
531ce8cdcb6da123688b4889,1,0.77,7,588,0,1,3
531f4f99c86da172198b45b4,1,0.62,9,17,74,2,2
531f864eca6da1400c8b4695,1,0.58,4,183,0,0,0
53207d3d1b0ba0d60f8b4df7,3,0.81,2,112,56,2,0
5320b0bb1a0ba0e9208b507f,1,0.12,2,34,39,2,2
5320be8cc96da1152d8b4594,1,0.42,2,113,3,2,0
5321a377150ba00c2d8b62a1,1,0.85,6,41,0,2,2
5321caff150ba04e6d8b457a,1,0.0,2,313,0,0,3
5324b549c56da1485e8b45f4,1,0.92,11,188,82,0,0
532575c8160ba0697d8b50ae,1,1.0,6,127,43,2,0
5325ac72c46da1a0628b4694,1,0.81,3,152,3,2,0
5325d60b1b0ba0683f8b4890,1,0.12,6,949,17,1,1
5325f59dc96da11c4b8b54d2,1,0.88,5,1112,17,3,1
5326f6a7150ba0331f8b4654,1,0.35,5,389,51,0,3
5327a402170ba003558b4c1b,1,0.0,3,12,23,2,2
532829f8160ba0d65e8b46ed,2,0.88,9,87,52,2,2
532887cc140ba06c118b4b00,1,0.88,1,3,0,2,2
5328ba07ca6da113148b5624,1,0.04,4,43,0,2,2
532b00a1150ba0467c8b4ccc,1,0.69,3,69,20,2,2
532c56d4c96da114128b5317,1,1.0,11,116,18,2,0
532dc38d150ba09e038bcd1e,1,0.0,1,0,0,2,2
532f1fc7c96da182168b87f3,1,0.54,4,436,20,0,3
532f7673cb6da104758b8e06,1,0.77,3,202,32,0,0
